person_id;person_trip_id;leg_index;origin_x;origin_y;destination_x;destination_y;departure_time;travel_time;vehicle_distance;routed_distance;mode;euclidean_distance
197759;0;0;1222456.7630114744;6121316.777545255;1221270.0175633421;6124674.067701816;33930.0;1833.0;11653.71448815472;11653.71448815472;car;3560.8653378081754
48190;0;0;1206861.2246618439;6062971.938710324;1206861.2246618439;6062971.938710324;35586.0;177.0;0.0;212.6927058280557;walk;0.0
35894;0;0;1184417.8120620134;6106643.878995944;1184133.4483615393;6118222.598769279;31429.0;4339.0;27963.273716375126;27963.273716375126;car;11582.211114617758
148456;0;0;1196606.4119576816;6169469.7591999;1196363.0913844814;6169351.369755911;35674.0;101.0;0.0;122.22531593037031;walk;270.5937208999804
316864;0;0;1176709.5142086912;6177271.893315408;1207454.6759886541;6153528.147596858;30927.0;4849.0;0.0;83730.19670767515;car_passenger;38846.240920110315
255165;1;1;1237868.1630129642;6165285.083506752;1238145.6967961923;6162976.570377586;35441.0;337.0;2919.682845772046;2919.682845772046;car;2325.136096739701
117241;0;0;1176608.9836673713;6108656.969416144;1176086.5317371215;6108446.373120733;31802.0;3982.0;1998.0484027602895;1998.0484027602895;car;563.2999370343316
164135;2;2;1235708.6304756943;6172184.458474132;1233651.1238073483;6171441.392047234;35340.0;446.0;3094.2715219771085;3094.2715219771085;car;2187.5743198967557
139321;3;3;1224658.3674274674;6078718.698448023;1224316.2101658676;6075189.7053636145;33057.0;2734.0;5991.838548158291;5991.838548158291;car;3545.541394690996
135809;2;2;1225834.222099987;6077924.507228417;1224313.485815243;6075494.644672836;33534.0;2263.0;7330.526231678891;7330.526231678891;car;2866.508483635152
48391;0;0;1192236.6420282726;6097025.961509139;1191529.586546246;6097922.798803197;35522.0;277.0;1706.5943116127683;1706.5943116127683;car;1142.0352825885543
74988;0;0;1178501.4121879728;6109389.38541738;1181075.1614060767;6108702.672429361;32437.0;3370.0;4259.297408294968;4259.297408294968;car;2663.7867342571963
311440;1;1;1227050.1594720138;6197780.257878846;1227998.4390570826;6197215.218155325;32570.0;3238.0;3763.8286868327164;3763.8286868327164;car;1103.8587140635464
218673;2;2;1225994.4567258612;6197981.932030703;1228463.523891733;6199619.857189143;32014.0;3812.0;5148.701568667728;5148.701568667728;car;2962.9531711178947
